T1(k+1),T2(k+1)
79.152,73.09
78.36,72.615
77.931,71.227
78.392,72.391
79.543,73.39
80.308,73.918
79.877,73.367
79.284,73.52
78.682,72.252
79.187,72.74
79.759,73.027
79.96,74.72
80.157,74.439
79.795,74.091
79.316,72.52
79.424,72.349
79.53,72.206
79.915,73.609
